entrez_id	symbol
100128554	hCG_2015435
100128556	LOC100128556
100128558	LOC100128558
100128559	LOC100128559
100128560	LOC100128560
100128561	LOC100128561
100128562	LOC100128562
100128563	LOC100128563
100128564	UNQ353
100128565	LOC100128565
100128566	LOC100128566
100128567	LOC100128567
100128568	LOC100128568
100128569	C19orf71
100128570	LOC100128570
100128571	LOC100128571
100128572	LOC100128572
100128573	LOC100128573
100128574	LOC100128574
100128575	LOC100128575
100128576	LOC100128576
100128578	LOC100128578
100128579	LOC100128579
100128580	LOC100128580
100128581	LOC100128581
100128582	SSX10
100128585	LOC100128585
100128586	LOC100128586
100128587	LOC100128587
100128588	LOC100128588
100128589	LOC100128589
100128590	LOC100128590
100128591	LOC100128591
100128592	LOC100128592
100128593	LOC100128593
100128594	LOC100128594
100128595	LOC100128595
100128596	LOC100128596
100128597	LOC100128597
100128598	LOC100128598
100128600	LOC100128600
100128601	LOC100128601
100128602	LOC100128602
100128603	LOC100128603
100128604	LOC100128604
100128605	RPS15AP13
100128607	LOC100128607
100128608	LOC100128608
100128609	LOC100128609
100128610	LOC100128610
100128612	LOC100128612
100128613	LOC100128613
100128615	LOC100128615
100128616	LOC100128616
100128617	UBA52P7
100128618	LOC100128618
100128619	LOC100128619
100128621	LOC100128621
100128622	LOC100128622
100128624	LOC100128624
100128625	RP11-459J23.2
100128626	LOC100128626
100128627	LOC100128627
100128628	RP11-2P5.4
100128631	LOC100128631
100128632	LOC100128632
100128633	LOC100128633
100128637	LOC100128637
100128638	LOC100128638
100128639	LOC100128639
100128640	LOC100128640
100128644	UNQ6487
100128645	LOC100128645
100128646	RPL10AP7
100128648	LOC100128648
100128651	LOC100128651
100128652	LOC100128652
100128653	LOC100128653
100128654	LOC100128654
100128655	LOC100128655
100128656	LOC100128656
100128657	LOC100128657
100128659	LOC100128659
100128660	LOC100128660
100128661	LOC100128661
100128662	RPL27P3
100128663	LOC100128663
100128664	RPL22P20
100128665	LOC100128665
100128666	LOC100128666
100128668	LOC100128668
100128669	LOC100128669
100128670	LOC100128670
100128671	LOC100128671
100128672	LOC100128672
100128673	LOC100128673
100128674	LOC100128674
100128675	LOC100128675
100128676	LOC100128676
100128677	LOC100128677
100128678	LOC100128678
100128679	LOC100128679
100128681	LOC100128681
100128682	LOC100128682
100128683	LOC100128683
100128684	LOC100128684
100128685	LOC100128685
100128686	LOC100128686
100128687	LOC100128687
100128688	LOC100128688
100128689	LOC100128689
100128690	LOC100128690
100128691	LOC100128691
100128692	LOC100128692
100128693	LOC100128693
100128694	LOC100128694
100128695	LOC100128695
100128696	LOC100128696
100128697	LOC100128697
100128699	LOC100128699
100128700	LOC100128700
100128701	LOC100128701
100128703	LOC100128703
100128704	LOC100128704
100128705	LOC100128705
100128706	LOC100128706
100128707	LOC100128707
100128708	LOC100128708
100128709	LOC100128709
100128710	RPL9P30
100128711	LOC100128711
100128712	LOC100128712
100128713	LOC100128713
100128714	LOC100128714
100128715	LOC100128715
100128716	LOC100128716
100128717	LOC100128717
100128718	LOC100128718
100128719	LOC100128719
100128721	LOC100128721
100128722	LOC100128722
100128723	LOC100128723
100128725	LOC100128725
100128726	LOC100128726
100128727	LOC100128727
100128728	LOC100128728
100128729	LOC100128729
100128731	LOC100128731
100128733	LOC100128733
100128734	LOC100128734
100128735	RPL15P10
100128737	LOC100128737
100128738	LOC100128738
100128739	LOC100128739
100128740	LOC100128740
100128741	LOC100128741
100128742	LOC100128742
100128743	LOC100128743
100128744	LOC100128744
100128745	RPLP1P8
100128746	LOC100128746
100128747	LOC100128747
100128748	LOC100128748
100128749	LOC100128749
100128750	LOC100128750
100128751	LOC100128751
100128754	LOC100128754
100128756	RPS7P9
100128757	LOC100128757
100128759	LOC100128759
100128760	LOC100128760
100128761	LOC100128761
100128762	LOC100128762
100128763	LOC100128763
100128764	RP11-380N8.3
100128765	LOC100128765
100128766	RPL8P2
100128769	LOC100128769
100128770	LOC100128770
100128771	LOC100128771
100128772	LOC100128772
100128773	LOC100128773
100128774	LOC100128774
100128775	LOC100128775
100128776	LOC100128776
100128777	LOC100128777
100128778	LOC100128778
100128781	FAM35A2
100128782	C9orf130
100128783	LOC100128783
100128785	GS85
100128786	LOC100128786
100128787	LOC100128787
100128788	LOC100128788
100128789	LOC100128789
100128790	LOC100128790
100128791	LOC100128791
100128792	LOC100128792
100128793	LOC100128793
100128794	LOC100128794
100128795	LOC100128795
100128796	LOC100128796
100128797	LOC100128797
100128800	LOC100128800
100128801	LOC100128801
100128803	LOC100128803
100128804	LOC100128804
100128807	RPL35AP37
